
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
60:22:32:20:36:DE, 2024-09-10 19:24:56, 2024-09-10 19:30:16,  6, 360, WPA2, CCMP, PSK, -54,     2300,     8781,   0.  0.  0.  0,   6, ITR3-6, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
8A:AF:C5:F6:FA:50, 2024-09-10 19:24:56, 2024-09-10 19:25:19, -76,      901, 60:22:32:20:36:DE,
DA:19:AE:0D:07:5E, 2024-09-10 19:24:56, 2024-09-10 19:30:01, -58,      787, 60:22:32:20:36:DE,
36:13:72:A2:ED:3E, 2024-09-10 19:24:58, 2024-09-10 19:30:11, -43,     1208, 60:22:32:20:36:DE,
24:46:C8:23:A1:94, 2024-09-10 19:25:02, 2024-09-10 19:30:07, -67,      246, 60:22:32:20:36:DE,
4E:21:71:E0:FF:32, 2024-09-10 19:25:02, 2024-09-10 19:30:04, -71,      521, 60:22:32:20:36:DE,
B6:54:C6:88:E8:DD, 2024-09-10 19:25:03, 2024-09-10 19:30:13, -76,      266, 60:22:32:20:36:DE,
32:38:4B:78:3C:C4, 2024-09-10 19:25:04, 2024-09-10 19:29:53, -48,       87, 60:22:32:20:36:DE,
BA:1D:EC:45:A5:25, 2024-09-10 19:25:14, 2024-09-10 19:29:53, -64,      508, 60:22:32:20:36:DE,
0A:DE:45:4C:DA:A1, 2024-09-10 19:25:23, 2024-09-10 19:25:50, -71,       43, 60:22:32:20:36:DE,
AA:A0:54:B4:B9:C3, 2024-09-10 19:25:35, 2024-09-10 19:30:14, -79,      511, 60:22:32:20:36:DE,
FE:09:60:AD:F6:C8, 2024-09-10 19:25:59, 2024-09-10 19:25:59, -81,        1, 60:22:32:20:36:DE,ITR3-6
66:8E:38:8A:19:7E, 2024-09-10 19:26:07, 2024-09-10 19:30:08, -58,      270, 60:22:32:20:36:DE,
2E:D2:72:EC:99:4A, 2024-09-10 19:28:50, 2024-09-10 19:29:19,  -1,      110, 60:22:32:20:36:DE,

