
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
60:22:32:20:36:DE, 2024-09-10 16:42:23, 2024-09-10 16:47:42,  6, 360, WPA2, CCMP, PSK, -57,     1729,    11688,   0.  0.  0.  0,   6, ITR3-6, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
DA:19:AE:0D:07:5E, 2024-09-10 16:42:23, 2024-09-10 16:43:32, -75,      255, 60:22:32:20:36:DE,
A6:30:81:87:41:0A, 2024-09-10 16:42:23, 2024-09-10 16:47:38, -36,      302, 60:22:32:20:36:DE,
24:46:C8:23:A1:94, 2024-09-10 16:42:25, 2024-09-10 16:47:42, -71,      520, 60:22:32:20:36:DE,
32:38:4B:78:3C:C4, 2024-09-10 16:42:27, 2024-09-10 16:47:31, -51,      153, 60:22:32:20:36:DE,
86:97:13:D6:01:47, 2024-09-10 16:42:28, 2024-09-10 16:47:37, -46,      258, 60:22:32:20:36:DE,
BA:1D:EC:45:A5:25, 2024-09-10 16:42:34, 2024-09-10 16:47:37, -62,       59, 60:22:32:20:36:DE,
B6:54:C6:88:E8:DD, 2024-09-10 16:42:44, 2024-09-10 16:45:12, -79,     7349, 60:22:32:20:36:DE,
36:13:72:A2:ED:3E, 2024-09-10 16:42:45, 2024-09-10 16:47:29, -51,       84, 60:22:32:20:36:DE,
FA:D0:F3:10:06:8B, 2024-09-10 16:42:46, 2024-09-10 16:47:34, -65,       29, 60:22:32:20:36:DE,
66:8E:38:8A:19:7E, 2024-09-10 16:42:47, 2024-09-10 16:47:40, -53,      423, 60:22:32:20:36:DE,

