
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
E4:8D:8C:FE:C8:75, 2024-09-10 17:20:38, 2024-09-10 17:20:46,  1,  65, WPA2 WPA, CCMP, PSK, -60,        5,        0,   0.  0.  0.  0,   0, , 
E6:8D:8C:FE:C8:75, 2024-09-10 17:20:38, 2024-09-10 17:20:46,  1,  65, WPA2 WPA, CCMP, PSK, -60,        9,        2,   0.  0.  0.  0,   6, Profes, 
E6:8D:8C:FE:C8:76, 2024-09-10 17:20:38, 2024-09-10 17:20:46,  1,  65, WPA2, CCMP, PSK, -58,        8,        0,   0.  0.  0.  0,  10, Impresoras, 
60:22:32:20:36:DE, 2024-09-10 17:20:38, 2024-09-10 17:20:45,  6, 360, WPA2, CCMP, PSK, -47,        6,      105,   0.  0.  0.  0,   6, ITR3-6, 
A4:2B:B0:D6:D9:00, 2024-09-10 17:20:40, 2024-09-10 17:20:44, 11,  65, WPA2, CCMP, PSK, -56,        5,        0,   0.  0.  0.  0,   5, placa, 
6E:22:32:20:36:DE, 2024-09-10 17:20:40, 2024-09-10 17:20:45,  6, 360, WPA2, CCMP, MGT, -47,        7,        0,   0.  0.  0.  0,   6, Radius, 
0A:55:31:05:BF:79, 2024-09-10 17:20:40, 2024-09-10 17:20:40, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:22:6B:4D:0C:BF, 2024-09-10 17:20:40, 2024-09-10 17:20:44, 11,  54, WPA2, CCMP, PSK, -53,        7,        0,   0.  0.  0.  0,   5, , 
66:22:32:20:36:DE, 2024-09-10 17:20:41, 2024-09-10 17:20:44,  6, 360, WPA2, CCMP, PSK, -49,        4,        0,   0.  0.  0.  0,   0, , 
6A:22:32:20:36:DE, 2024-09-10 17:20:41, 2024-09-10 17:20:44,  6, 360, WPA2, CCMP, PSK, -48,        3,        0,   0.  0.  0.  0,   0, , 
72:22:32:20:36:DE, 2024-09-10 17:20:41, 2024-09-10 17:20:45,  6, 360, WPA2, CCMP, PSK, -48,        6,        2,   0.  0.  0.  0,   7, admin-6, 
76:22:32:20:36:DE, 2024-09-10 17:20:41, 2024-09-10 17:20:45,  6, 360, WPA2, CCMP, PSK, -47,        7,       27,   0.  0.  0.  0,   7, placa-2, 
74:4D:28:6D:03:20, 2024-09-10 17:20:41, 2024-09-10 17:20:41,  6,  65, WPA2 WPA, CCMP, PSK, -58,        1,        0,   0.  0.  0.  0,   0, , 
76:4D:28:6D:03:20, 2024-09-10 17:20:41, 2024-09-10 17:20:41,  6,  65, WPA2 WPA, CCMP, PSK, -58,        1,        0,   0.  0.  0.  0,   6, Profes, 
60:14:B3:D8:20:A0, 2024-09-10 17:20:41, 2024-09-10 17:20:45,  1, 195, WPA2, CCMP TKIP, PSK, -68,        3,        0,   0.  0.  0.  0,  23, Fibertel WiFi773 2.4GHz, 
10:D7:B0:F5:AD:42, 2024-09-10 17:20:41, 2024-09-10 17:20:45,  1, 260, WPA2, CCMP, PSK, -43,        8,        0,   0.  0.  0.  0,   7, sc-ad3d, 
12:D7:B0:F5:AE:43, 2024-09-10 17:20:41, 2024-09-10 17:20:45,  1, 260, WPA2 WPA, CCMP TKIP, PSK, -43,        8,        0,   0.  0.  0.  0,   8, , 
AE:E2:D3:D9:DA:D0, 2024-09-10 17:20:41, 2024-09-10 17:20:41,  1,  65, WPA2, CCMP, PSK, -62,        0,        0,   0.  0.  0.  0,  25, DIRECT-d0-HP M15 LaserJet, 
0E:96:E6:06:0F:81, 2024-09-10 17:20:44, 2024-09-10 17:20:44,  6,  65, WPA2, CCMP, PSK, -64,        1,        0,   0.  0.  0.  0,  26, DIRECT-81-HP M426 LaserJet, 
0A:55:31:05:BA:D9, 2024-09-10 17:20:45, 2024-09-10 17:20:46,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
3A:0C:31:93:CC:A0, 2024-09-10 17:20:39, 2024-09-10 17:20:45, -68,       92, 60:22:32:20:36:DE,
2C:41:38:2D:15:DA, 2024-09-10 17:20:40, 2024-09-10 17:20:45, -56,       12, (not associated) ,ESCUELAPALERMO
4A:62:B0:0C:AE:59, 2024-09-10 17:20:41, 2024-09-10 17:20:45,  -1,       18, 60:22:32:20:36:DE,
32:38:4B:78:3C:C4, 2024-09-10 17:20:41, 2024-09-10 17:20:44, -64,        7, 60:22:32:20:36:DE,
78:0C:B8:DF:AD:9F, 2024-09-10 17:20:41, 2024-09-10 17:20:41, -43,        2, E6:8D:8C:FE:C8:75,
CA:53:18:8A:31:FF, 2024-09-10 17:20:42, 2024-09-10 17:20:42, -64,        1, (not associated) ,cisco
8C:7A:3D:DF:E4:98, 2024-09-10 17:20:42, 2024-09-10 17:20:45, -61,        5, E6:8D:8C:FE:C8:75,
36:13:72:A2:ED:3E, 2024-09-10 17:20:43, 2024-09-10 17:20:43, -49,        1, 60:22:32:20:36:DE,
12:A6:86:70:C0:48, 2024-09-10 17:20:45, 2024-09-10 17:20:46, -62,        2, 0A:55:31:05:BA:D9,
D2:5B:8C:2B:36:7C, 2024-09-10 17:20:45, 2024-09-10 17:20:45, -48,        1, 60:22:32:20:36:DE,
06:A3:3D:03:B7:90, 2024-09-10 17:20:46, 2024-09-10 17:20:46, -65,        1, 0A:55:31:05:BA:D9,

