BSSID,ESSID,Signal,Channel,Encryption
78:45:61:DA:B9:C0,Fibertel Comba 2.4GHz,-38,1,WPA2
E8:AD:A6:0B:08:06,Zeballos -2.4GHz,-75,1,WPA2
EA:AD:A6:0B:09:0A,Personal Wifi Zone,-76,1,OPN
48:4B:D4:3E:B5:E0,Personal-5DC,-74,1,WPA2
4A:4B:D4:3E:B5:E4,Personal Wifi Zone,-73,1,OPN
B8:26:D4:0A:95:C2,RioTel_CUAGLIA_597,-52,6,WPA2
B8:26:D4:08:47:B2,RioTel_MARTIN_10348,-69,11,WPA2
80:E1:BF:15:53:88,RioTel_GONZALEZ,-79,10,WPA2 WPA
B8:26:D4:0C:DE:F2,RioTel_SARACCHINI_679,-85,11,WPA2
B8:26:D4:0A:6A:42,RioTel-VILLAFANE,-84,11,WPA2
B8:26:D4:08:54:B2,RioTel_VEGA,-86,11,WPA2
